256 20 3.78306
256 30 2.56057
256 40 3.16886
256 50 3.55925
256 60 3.875
512 20 8.59042
512 30 9.73837
512 40 11.0981
512 50 19.0239
512 60 19.7924
1024 20 56.0071
1024 30 68.5177
1024 40 93.146
1024 50 130.768
1024 60 152.816
2048 20 418.103
2048 30 623.782
2048 40 825.921
2048 50 1152.95
2048 60 1273.86
4096 20 3556.03
4096 30 5322.58
4096 40 7150.69
4096 50 9264.36
4096 60 11120.3
